OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape__Area,Shape__Length
1,26,163,517300,26163517300,5173,Census Tract 5173,G5020,S,839440,0,+42.3456895,-083.0505419,9034704.890625,11875.0657698977
2,26,163,518900,26163518900,5189,Census Tract 5189,G5020,S,1846190,0,+42.3526051,-083.0435163,19870142.8117676,23004.7889950426
3,26,163,513700,26163513700,5137,Census Tract 5137,G5020,S,3237672,595580,+42.3579800,-082.9612866,34846260.6887207,43670.6064347698
4,26,163,505400,26163505400,5054,Census Tract 5054,G5020,S,1390236,0,+42.4186463,-082.9937654,14962448.2451172,18230.6204339698
5,26,163,511300,26163511300,5113,Census Tract 5113,G5020,S,1513884,0,+42.4154477,-083.0497684,16293303.6098633,17942.2568180094
6,26,163,508100,26163508100,5081,Census Tract 5081,G5020,S,1574320,0,+42.4408940,-083.1014824,16943640.1948242,17815.2002652745
7,26,163,514200,26163514200,5142,Census Tract 5142,G5020,S,982297,0,+42.3817139,-083.0084252,10572151.7463379,15860.8518783014
8,26,163,516000,26163516000,5160,Census Tract 5160,G5020,S,1436083,0,+42.3714831,-083.0093250,15456171.0656738,15560.923063174
9,26,163,522500,26163522500,5225,Census Tract 5225,G5020,S,934226,0,+42.3411352,-083.0606802,10054856.7485352,12792.4973821985
10,26,163,530900,26163530900,5309,Census Tract 5309,G5020,S,1262451,0,+42.3753050,-083.1262756,13587390.6689453,15930.7666093036
11,26,163,507200,26163507200,5072,Census Tract 5072,G5020,S,754603,0,+42.4209194,-083.0737640,8121454.16796875,13071.2705363533
13,26,163,506800,26163506800,5068,Census Tract 5068,G5020,S,1748868,0,+42.4438513,-083.0676404,18822190.5800781,20149.0913183975
14,26,163,538900,26163538900,5389,Census Tract 5389,G5020,S,1286031,0,+42.4350607,-083.1513465,13840944.1455078,15762.814749328
15,26,163,513200,26163513200,5132,Census Tract 5132,G5020,S,925835,0,+42.3679737,-082.9383495,9964519.0390625,15506.5280759352
17,26,163,513900,26163513900,5139,Census Tract 5139,G5020,S,1286288,0,+42.3722151,-082.9837943,13843965.0773926,15452.3638514726
18,26,163,505700,26163505700,5057,Census Tract 5057,G5020,S,6376561,0,+42.4023635,-083.0106139,68628534.0031738,35779.4656921212
19,26,163,544800,26163544800,5448,Census Tract 5448,G5020,S,2413057,0,+42.3936977,-083.2522660,25970875.7983398,22171.2324226005
20,26,163,985800,26163985800,9858,Census Tract 9858,G5020,S,4790965,84538,+42.3661393,-083.2508895,52473878.6723633,37253.4038602169
21,26,163,547100,26163547100,5471,Census Tract 5471,G5020,S,2439854,0,+42.3717249,-083.2265775,26259432.4526367,21610.0360791294
22,26,163,546201,26163546201,5462.01,Census Tract 5462.01,G5020,S,1023861,0,+42.3474211,-083.2602262,11019599.6459961,15550.2222958038
23,26,163,543300,26163543300,5433,Census Tract 5433,G5020,S,2290491,0,+42.3853967,-083.2258694,24651753.2145996,21039.9820787843
24,26,163,547000,26163547000,5470,Census Tract 5470,G5020,S,1306018,0,+42.3718007,-083.2412514,14056300.420166,15718.453632146
25,26,163,547200,26163547200,5472,Census Tract 5472,G5020,S,2589026,0,+42.3579540,-083.2067513,27865126.2124023,21196.735277461
26,26,163,535800,26163535800,5358,Census Tract 5358,G5020,S,1960901,0,+42.3582992,-083.1895969,21104702.0634766,18540.6222680958
27,26,163,509000,26163509000,5090,Census Tract 5090,G5020,S,2334370,0,+42.4252927,-083.1013959,25123803.5771484,21745.9839006174
28,26,163,505800,26163505800,5058,Census Tract 5058,G5020,S,5608973,0,+42.4001418,-083.0316007,60367309.1152344,38041.4592352625
29,26,163,524500,26163524500,5245,Census Tract 5245,G5020,S,2822930,138012,+42.2873034,-083.1516022,31868687.9775391,25394.6309101934
30,26,163,538400,26163538400,5384,Census Tract 5384,G5020,S,1307425,0,+42.4244428,-083.1362307,14071231.8374023,15969.8195208319
31,26,163,538500,26163538500,5385,Census Tract 5385,G5020,S,1288343,0,+42.4206842,-083.1507627,13865840.4638672,15828.1015414657
32,26,163,538600,26163538600,5386,Census Tract 5386,G5020,S,1277524,0,+42.4278669,-083.1510894,13749404.2456055,15781.8740013045
33,26,163,538700,26163538700,5387,Census Tract 5387,G5020,S,1292495,0,+42.4240331,-083.1655643,13910546.4614258,15848.5745503831
34,26,163,539000,26163539000,5390,Census Tract 5390,G5020,S,1307734,0,+42.4423439,-083.1516011,14074497.2299805,15859.7737421077
35,26,163,539100,26163539100,5391,Census Tract 5391,G5020,S,622449,0,+42.4421933,-083.1662919,6699110.1171875,10433.3225962968
36,26,163,539200,26163539200,5392,Census Tract 5392,G5020,S,1809125,0,+42.4418812,-083.1852055,19470694.6347656,21106.447513018
37,26,163,539400,26163539400,5394,Census Tract 5394,G5020,S,1194131,0,+42.4258131,-083.1759425,12851903.3603516,16899.1436331064
38,26,163,539500,26163539500,5395,Census Tract 5395,G5020,S,1556189,0,+42.4198197,-083.1874311,16748595.3164063,18683.7294173728
39,26,163,539600,26163539600,5396,Census Tract 5396,G5020,S,1099066,0,+42.4267783,-083.1912708,11828801.503418,14982.5029739833
40,26,163,539700,26163539700,5397,Census Tract 5397,G5020,S,743932,0,+42.4346911,-083.1956884,8006565.515625,13307.2701579024
