FIPS Code,GISJOIN,Data File Year,Geographic Code Identifier
26163500100,G2601630500100,2020,8192
26163500200,G2601630500200,2020,8224
26163500300,G2601630500300,2020,8704
26163500400,G2601630500400,2020,8752
26163500500,G2601630500500,2020,8720
26163500600,G2601630500600,2020,8752
26163500700,G2601630500700,2020,8720
26163500800,G2601630500800,2020,9216
26163500900,G2601630500900,2020,9248
26163501000,G2601630501000,2020,9216
26163501100,G2601630501100,2020,9248
26163501200,G2601630501200,2020,9232
26163501300,G2601630501300,2020,9776
26163501400,G2601630501400,2020,9744
26163501500,G2601630501500,2020,9776
26163501600,G2601630501600,2020,9760
26163501700,G2601630501700,2020,9728
26163501800,G2601630501800,2020,8224
26163501900,G2601630501900,2020,8192
26163502000,G2601630502000,2020,8240
26163502600,G2601630502600,2020,8704
26163502700,G2601630502700,2020,8736
26163503100,G2601630503100,2020,9264
26163503200,G2601630503200,2020,9248
26163503300,G2601630503300,2020,9728
26163503400,G2601630503400,2020,9760
26163503500,G2601630503500,2020,9728
26163503600,G2601630503600,2020,9776
26163503900,G2601630503900,2020,8208
26163504000,G2601630504000,2020,8192
26163504100,G2601630504100,2020,8224
26163504200,G2601630504200,2020,8192
26163504300,G2601630504300,2020,8224
26163504400,G2601630504400,2020,8720
26163505100,G2601630505100,2020,9216
26163505200,G2601630505200,2020,9264
26163505400,G2601630505400,2020,9776
26163505600,G2601630505600,2020,9728
26163505700,G2601630505700,2020,9760
26163505800,G2601630505800,2020,9728
26163506100,G2601630506100,2020,8240
26163506200,G2601630506200,2020,8208
26163506300,G2601630506300,2020,8240
26163506400,G2601630506400,2020,8736
26163506500,G2601630506500,2020,8704
26163506600,G2601630506600,2020,8736
26163506700,G2601630506700,2020,8704
26163506800,G2601630506800,2020,8752
26163506900,G2601630506900,2020,9232
26163507000,G2601630507000,2020,9264
26163507100,G2601630507100,2020,9232
26163507200,G2601630507200,2020,9216
26163507300,G2601630507300,2020,9248
26163507400,G2601630507400,2020,9728
26163507500,G2601630507500,2020,9760
26163508000,G2601630508000,2020,16416
26163508100,G2601630508100,2020,16384
26163509000,G2601630509000,2020,17408
26163509100,G2601630509100,2020,17440
26163510600,G2601630510600,2020,16896
26163511200,G2601630511200,2020,17440
26163511300,G2601630511300,2020,17408
26163511400,G2601630511400,2020,17440
26163511900,G2601630511900,2020,17936
26163512800,G2601630512800,2020,16928
26163513200,G2601630513200,2020,17456
26163513300,G2601630513300,2020,17424
26163513700,G2601630513700,2020,17952
26163513800,G2601630513800,2020,17920
26163513900,G2601630513900,2020,17952
26163514100,G2601630514100,2020,16432
26163514200,G2601630514200,2020,16400
26163514300,G2601630514300,2020,16432
26163514500,G2601630514500,2020,16384
26163515200,G2601630515200,2020,17408
26163515300,G2601630515300,2020,17440
26163515400,G2601630515400,2020,17408
26163515700,G2601630515700,2020,17968
26163516000,G2601630516000,2020,17952
26163516400,G2601630516400,2020,24624
26163516500,G2601630516500,2020,24592
26163516600,G2601630516600,2020,24624
26163516700,G2601630516700,2020,25104
26163516800,G2601630516800,2020,25088
26163516900,G2601630516900,2020,25120
26163517000,G2601630517000,2020,25088
26163517100,G2601630517100,2020,25120
26163517200,G2601630517200,2020,25616
26163517300,G2601630517300,2020,25648
26163517500,G2601630517500,2020,25648
26163518000,G2601630518000,2020,26160
26163518900,G2601630518900,2020,25136
26163519000,G2601630519000,2020,25104
26163519100,G2601630519100,2020,25136
26163519200,G2601630519200,2020,25632
26163519300,G2601630519300,2020,25600
26163520200,G2601630520200,2020,24576
26163520300,G2601630520300,2020,24608
26163520400,G2601630520400,2020,24592
26163520700,G2601630520700,2020,24624
26163520800,G2601630520800,2020,25120
26163521100,G2601630521100,2020,25088
26163521400,G2601630521400,2020,25648
26163521500,G2601630521500,2020,25616
