GEOID,City_Name,HRI2020,CBSA2020,Interval2020
26163538500,Detroit,1,19820,1
26163538600,Detroit,1,19820,1
26163542200,Detroit,1,19820,1
26163500900,Detroit,1,19820,1
26163501000,Detroit,1,19820,1
26163538200,Detroit,1.01,19820,1
26163501200,Detroit,1.06,19820,1
26163538400,Detroit,1.15,19820,1
26163542100,Detroit,1.26,19820,1
26163501100,Detroit,1.28,19820,1
26163543500,Detroit,1.56,19820,1
26163543200,Detroit,1.57,19820,1
26163543400,Detroit,1.69,19820,1
26163501400,Detroit,1.93,19820,2
26163542300,Detroit,1.98,19820,2
26163500500,Detroit,1.98,19820,2
26163538700,Detroit,1.99,19820,2
26163543100,Detroit,1.99,19820,2
26163537500,Detroit,1.99,19820,2
26163504100,Detroit,1.99,19820,2
26163543300,Detroit,2,19820,2
26163539400,Detroit,2,19820,2
26163539600,Detroit,2,19820,2
26163539700,Detroit,2,19820,2
26163540600,Detroit,2,19820,2
26163542400,Detroit,2,19820,2
26163542500,Detroit,2,19820,2
26163542900,Detroit,2,19820,2
26163543000,Detroit,2,19820,2
26163500400,Detroit,2,19820,2
26163501300,Detroit,2,19820,2
26163539300,Detroit,2,19820,2
26163504000,Detroit,2,19820,2
26163503300,Detroit,2,19820,2
26163540200,Detroit,2,19820,2
26163501900,Detroit,2,19820,2
26163535600,Detroit,2,19820,2
26163536200,Detroit,2,19820,2
26163536800,Detroit,2,19820,2
26163536900,Detroit,2,19820,2
26163537000,Detroit,2,19820,2
26163503900,Detroit,2,19820,2
26163504200,Detroit,2,19820,2
26163504300,Detroit,2,19820,2
26163501800,Detroit,2.01,19820,2
26163540300,Detroit,2.02,19820,2
26163538800,Detroit,2.02,19820,2
26163537700,Detroit,2.02,19820,2
26163542600,Detroit,2.03,19820,2
26163504400,Detroit,2.05,19820,2
26163538100,Detroit,2.1,19820,2
26163503500,Detroit,2.16,19820,2
26163502600,Detroit,2.27,19820,2
26163537100,Detroit,2.27,19820,2
26163539500,Detroit,2.39,19820,2
26163505400,Detroit,2.48,19820,2
26163534700,Detroit,2.49,19820,2
26163536300,Detroit,2.54,19820,3
26163502000,Detroit,2.57,19820,3
26163500600,Detroit,2.67,19820,3
26163503600,Detroit,2.7,19820,3
26163534200,Detroit,2.78,19820,3
26163536600,Detroit,2.85,19820,3
26163536100,Detroit,2.89,19820,3
26163536700,Detroit,2.93,19820,3
26163537600,Detroit,2.94,19820,3
26163501700,Detroit,2.96,19820,3
26163535700,Detroit,2.96,19820,3
26163513200,Detroit,2.97,19820,3
26163534800,Detroit,2.97,19820,3
26163536400,Detroit,2.97,19820,3
26163530200,Detroit,2.98,19820,3
26163541100,Detroit,2.98,19820,3
26163535000,Detroit,2.98,19820,3
26163505200,Detroit,2.99,19820,3
26163535200,Detroit,2.99,19820,3
26163503400,Detroit,2.99,19820,3
26163514200,Detroit,3,19820,3
26163516000,Detroit,3,19820,3
26163530900,Detroit,3,19820,3
26163535800,Detroit,3,19820,3
26163541400,Detroit,3,19820,3
26163545100,Detroit,3,19820,3
26163545200,Detroit,3,19820,3
26163506700,Detroit,3,19820,3
26163506900,Detroit,3,19820,3
26163507400,Detroit,3,19820,3
26163507500,Detroit,3,19820,3
26163524800,Detroit,3,19820,3
26163508000,Detroit,3,19820,3
26163530500,Detroit,3,19820,3
26163530800,Detroit,3,19820,3
26163531100,Detroit,3,19820,3
26163531400,Detroit,3,19820,3
26163500100,Detroit,3,19820,3
26163500200,Detroit,3,19820,3
26163500300,Detroit,3,19820,3
26163501600,Detroit,3,19820,3
26163501500,Detroit,3,19820,3
26163531800,Detroit,3,19820,3
26163533000,Detroit,3,19820,3
26163533200,Detroit,3,19820,3
26163533300,Detroit,3,19820,3
26163533400,Detroit,3,19820,3
