State,County,FIPS Code,Geographic Coordinates,Life Expectancy,Self-Reported Physical Health,Self-Reported Mental Health,Alcohol Abuse,Current Diabetes,Current Adult Asthma,Stroke,COPD,CHD,Cancer,High Blood Pressure ,Cholesterol Screening,Routine Doctor Visit,Colonoscopy,Mammogram,Older Men Preventive Screening,Older Women Preventive Screening,Dental Exams,Proximity to Nursing Homes,Medically Underserved Areas,Current Lack of Health Insurance,Proximity to hospitals ,Below Poverty,Unemployed,Low Income,No High School Diploma,Religious Organizations,Civic and Social Organizations,Aged 65 or Older,Aged 17 or Younger,Civilian with a Disability,Single-Parent Households,Minority,Speaks English Less than Well,Redlining,Multi-Unit Structures,Mobile Homes,Crowding,No Vehicle,Group Quarters,Housing Foreclosure Risk,Percent of Housing Units Built Between 1940-1969 as of 2015-2019,Flooding risk to roads,Lane miles per capita,Road Quality and Maintenance,Public Transit Performance,Bridge Quality and Maintenance,Walkability,Bikability,Residential Energy Cost Burden,EV Charging Stations,Modified Retail Food Environment Index,Indoor Plumbing,Percent of Household with no internet access,Percent of household with smartphone but no other device.,Housing Affordability (renters),Housing Affordability (owners),Public Library Locations,HUD Public Housing,Total vehicle miles traveled per capita,Passenger vehicle miles traveled per capita,Truck vehicle miles traveled per capita,Heavy Duty Vehicle vehicle miles traveled per capita,Proximity to Ports,Rail Crossings,Traffic Proximity and Volume,National Transportation Noise Map,Risk-Screening Environmental Indicators (RSEI) ,Air Tox Respiratory,Air Tox Neurological,Air Tox Liver,Air Tox Developmental,Air Tox Reproductive,Air Tox Kidney,Air Tox Immunological,Air Tox Thyroid,Air Tox Total Cancer Risk,Lead Paint: % housing units built before 1960,Superfund Sites,Brownfields,Stream Toxicity Risk-Screening Environmental Indicators (RSEI),NPL sites,Hazardous Waste Management Facilities (TSDFs) ,Facilities with Enforcement or Violation,TSCA Facilities ,Risk Management Plan Facilities,Chemical Manufacturers,Metal Recyclers,Annual average PM2.5 concentrations,NO2 concentration,Ozone concentration,Parks and Greenspace,Impermeable Surfaces,Forest Land Cover,Increased PM2.5 mortality - CVD (ages 65+),Increase in childhood asthma incidence,Expected Annual Loss - Agriculture Value,Expected Annual Loss - Building Value,Expected Annual Loss - Population Equivalence ,Methane Emissions,Days with maximum temperature above 35C,Days with maximum temperature above 40C,Frost Days,Maximum of maximum temperatures,Mean temperature,Urban Heat Island Extreme Heat Days,Consecutive Dry Days,Wildfire - Annualized Frequency,Surface PM2.5,Snowfall,Standardized Precip Index,Total Precipitation,Riverine Flooding - Annualized Frequency,Tornado - Annualized Frequency
MI,Wayne,26163500100,"+42.4444014,-082.9509210",68.3,16.5,18.2,17.2,13.1,14.6,4.1,8.2,5.8,4.8,41.5,30.8,82.9,63.6,81.1,29.6,26.9,58.4,3.611026863,2,13.3,5.47,0.6622,0.9194,0.8027,0.4263,0.9538951,0,0.0878,0.6454,0.5705,0.9831,0.9458,0,3,0.4086,0,0.675,0.6207,0,31.7,90.73,1.13,0,166.69,5.93,,58,47,9,0.854033213,7,1.92267162,27.4,5.5,100,25,1.541800371,,12.38,12.22,0.1,0.06,,0,437.648243,50.8854103,6280,0.3,0.04,0.02,0.07,0.08,0.02,0.03,0.003,30,93.31529329,,19.1134884,,0.155246988,1.954210639,2.119528047,0.263113423,0.309561161,0.652683111,0.124979935,8.4,4.262,40,1,60.7,0,-0.0003,-0.0000736,0,18193.58488,37605.82806,8.40384E+11,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,0,-2.637837648,-0.152078941,44.7876662,7.584296912,0,0.000519483
MI,Wayne,26163500200,"+42.4461071,-082.9633178",71,15,16.5,17.4,12.7,13.8,3.8,7.2,5.3,4.9,39.6,29.8,83.5,66.5,81.8,30,28.2,62.6,2.481125236,2,11.9,6.73,0.7479,0.9598,0.7322,0.3517,0.6951686,0.3475843,0.1985,0.8526,0.0725,0.9939,0.9431,0,3,0.243,0.5669,0,0.4771,0,30.6,85.1,1.13,0,201.04,6.15,,64,55,7,1.281012243,0,1.582695019,26.5,1.7,0,15,1.356189923,,16.56,16.23,0.24,0.09,,0,1403.972734,53.7975616,6020,0.3,0.04,0.02,0.07,0.08,0.02,0.04,0.003,30,92.33955717,,22.06921217,,0.143728606,1.725976099,4.968387047,0.601686653,0.578515335,1.55113444,0.491186897,8.3,4.294,39.92,0,64.6,0,-0.00029,-0.000126,0,14014.01156,30360.38021,8.40384E+11,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,0,-2.637837648,-0.152078941,44.7876662,7.584296912,0,0.000507479
MI,Wayne,26163500300,"+42.4388723,-082.9656436",67.9,17.9,19.9,16.9,13.9,14.9,4.3,8.7,6,4.2,41.6,30.3,82.2,59.4,81.6,26.3,24.5,52.7,2.42435046,2,15.3,6.37,0.8632,0.9854,0.9297,0.5831,1.426534,0,0.0176,0.7401,0.1793,0.9883,0.9538,0.2767,3,0.3858,0.5312,0.319,0.8393,0.6972,33.3,64.81,1.13,0,178.3,6.9,,56,51,10,0.633719484,4,1.453644991,35.5,6.8,60,10,1.210995759,,19.37,18.95,0.3,0.12,,0,1012.785531,55.4029808,4700,0.3,0.04,0.02,0.06,0.08,0.02,0.03,0.003,30,88.87257128,,23.85645771,,0.131702442,1.586213429,4.352216318,0.554765165,0.536852605,0.436415962,0.280861844,8.279,4.234,39.98,1,63.8,0,-0.00031,-0.0000797,0,13935.43302,30763.04902,8.40384E+11,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,0,-2.637837648,-0.152078941,44.7876662,7.584296912,0,0.000599276
MI,Wayne,26163500400,"+42.4261558,-082.9793388",71.6,21.2,22.2,15.8,16.4,16,5.2,10.7,7,4.2,43.3,31,82.3,55.8,81.8,23,21.6,45.4,2.009260548,2,18.1,7.29,0.9599,0.9953,0.9743,0.6694,2.592913,0.8643042,0.1327,0.8684,0.8429,0.9924,0.9627,0,2,0.5196,0.5312,0,0.8744,0.6113,34.7,52.89,1.13,0,121.88,6.9,,54,60,14,0.152892745,10,0.586414045,38.5,5,40,35,0.412697961,,56.57,55.17,1.14,0.27,,0,2036.88265,52.3614998,679,0.3,0.04,0.02,0.07,0.08,0.02,0.03,0.003,30,84.43655871,,27.37275505,,0.108073506,1.686729198,5.54737587,0.564660165,1.136963649,0.625907175,0.825892881,8.156,4.235,40,0,64.3,0,-0.00028,-0.000104,0,9354.25623,16460.41283,8.40384E+11,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,3.4937E-07,-2.637837648,-0.152078941,44.7876662,7.584296912,0,0.000560663
MI,Wayne,26163500500,"+42.4241342,-082.9679434",72,16,17.4,17.1,13.8,14.4,4.3,7.8,5.6,4.8,41.8,30.4,83.5,65.3,82.8,28.7,25.6,59,2.873979497,2,13.4,6,0.7884,0.9673,0.9085,0.5427,0,0,0.0783,0.5394,0.5154,0.9723,0.9892,0,1,0.4028,0,0,0.6984,0.7502,32.7,82.02,1.13,0,138.46,6.9,,44,64,10,0.05333852,12,0.670413617,36.3,10.5,40,20,0.707715958,,11.07,11.03,0.03,0.01,,0,207.0627504,51.715519,1560,0.3,0.04,0.02,0.06,0.08,0.02,0.03,0.003,30,84.54786194,,26.57151413,,0.11122201,1.319543935,3.176887274,0.338619743,0.701880395,0.302295438,0.167500382,8.2,4.273,40.11,2,63.5,0,-0.00032,-0.0000727,0,11454.58471,21775.98647,8.40384E+11,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,2.12674E-07,-2.637837648,-0.152078941,44.7876662,7.584296912,0,0.000537954
MI,Wayne,26163500600,"+42.4315247,-082.9651767",71,17.5,19.3,16.5,14.2,15.2,4.4,8.5,5.8,4.5,43.7,31.5,83.2,61.9,82.3,26.2,25.5,55.4,2.735896146,2,14.1,5.94,0.7351,0.9544,0.8841,0.5427,1.774308,1.419446,0.0322,0.8805,0.0994,0.9899,0.9967,0,2,0.243,0,0.3397,0.7875,0,33.2,80.89,1.13,0,247.59,6.9,,53,51,9,0.293101113,14,1.133871457,30.4,5.1,35,25,1.069218621,,16.88,16.72,0.09,0.07,,0,841.5630949,52.0669403,3430,0.3,0.04,0.02,0.07,0.08,0.02,0.03,0.003,30,89.01213501,,24.92526305,,0.120003456,1.500689679,3.539209753,0.441955045,0.663465257,0.096351166,0.201832078,8.233,4.23,40.07,1,61.4,0,-0.00033,-0.000122,0,17628.69666,36588.53631,8.40384E+11,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,1.41925E-07,-2.637837648,-0.152078941,44.7876662,7.584296912,0,0.000625459
MI,Wayne,26163500700,"+42.4295995,-082.9473259",73.4,19.8,20.9,15.9,15,15.8,4.8,10.1,6.6,4.6,42.2,31.2,82.4,59,80.4,25.8,23.8,50.8,4.229852915,2,17,3.94,0.9142,0.9774,0.953,0.8734,0.6069189,0,0.0672,0.8952,0.8253,0.974,0.9616,0,1,0.5863,0,0.787,0.7419,0,31.4,73.83,1.12,0,209.32,6.2,,47,44,10,0.327922759,14,1.777434129,34.4,15.5,280,50,1.3442298,,11.98,11.83,0.09,0.06,,0,1453.889516,50.5732498,6220,0.3,0.04,0.02,0.07,0.08,0.02,0.03,0.003,30,97.31030551,,20.00477248,,0.133160983,0.867678832,1.465798923,0.109033718,0.199109576,0.017321001,,8.267,4.199,40.06,0,59.8,0,-0.00028,-0.0000861,0,20774.16376,43249.1499,8.40384E+11,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,0,-2.637837648,-0.152078941,44.7876662,7.584296912,0,0.000590451
MI,Wayne,26163500800,"+42.4246567,-082.9351961",71.9,20.9,20.6,15.4,16.4,15.6,5.2,11,7.5,5,42.7,32,82.7,58,80.9,26,23.2,50,4.904365444,2,16.3,2.43,0.9455,0.8991,0.9387,0.681,0.685401,0,0.1091,0.8867,0.8429,0.9784,0.9262,0,1,0,0.6584,0.7922,0.739,0,30,80.53,1.12,0,126.64,6.2,,41,43,7,0.69628787,11,2.698627843,31.2,15.1,135,105,1.431634943,,40.5,38.71,0.37,1.43,,0,3652.179604,53.968441,2590,0.3,0.04,0.02,0.07,0.08,0.02,0.03,0.003,30,97.907004,,14.73303456,,0.133219281,0.726138066,1.654045314,,0.232130771,,,8.333,4.157,39.85,1,55.5,0,-0.00022,-0.0000616,0,14230.72864,24543.41106,8.40384E+11,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,0,-2.637837648,-0.152078941,44.7876662,7.584296912,0,0.000536864
MI,Wayne,26163500900,"+42.4223549,-082.9475917",72.4,23.8,23.3,14.1,18.8,17.2,6.2,12.5,8.3,4.8,46.1,33.1,83.2,55.5,81.4,22,20.8,44.1,4.1873471,2,18.7,3.72,0.9478,0.9458,0.9577,0.918,0.8784773,0,0.0726,0.7239,0.8616,0.9317,0.9577,0,1,0.7195,0,0.8139,0.9087,0,31,66.01,1.12,0,83.17,6.9,,55,45,7,0.419670938,10,1.921065175,31.5,5.8,330,75,1.170430554,,21.94,21.18,0.13,0.63,,0,102.0862099,52.4185104,5000,0.3,0.04,0.02,0.07,0.08,0.02,0.03,0.003,30,94.91642615,,20.84291605,,0.121689143,0.742348702,1.722806076,0.10935461,0.233296444,0.052481084,,8.3,4.132,39.92,1,61.2,0,-0.0003,-0.000113,0,17360.40812,39835.14866,8.40384E+11,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,0,-2.637837648,-0.152078941,44.7876662,7.584296912,0,0.000583868
MI,Wayne,26163501000,"+42.4187276,-082.9515638",70.8,20.8,21.1,15.3,16.8,16,5.4,10.4,7,4.7,45.1,32.2,83.3,57.9,81.7,23.9,23.1,49.5,4.089325772,2,16.3,4.15,0.9375,0.9608,0.9362,0.821,1.756235,0.351247,0.0423,0.9543,0.7456,0.8872,0.9742,0,1,0.5557,0.4938,0.8175,0.8787,0.3791,63.3,66.48,1.12,0,81.14,6.9,,57,45,6,0.458602858,13,1.672575864,40.2,7.7,110,20,0.967385542,,20.06,19.28,0.13,0.66,,0,136.015409,52.4892883,3210,0.3,0.04,0.02,0.07,0.08,0.02,0.03,0.003,30,96.10698202,,23.37807121,,0.114575498,0.755856151,1.891624245,0.090505778,0.254949113,0.12247823,0.002738069,8.333,4.192,40.08,1,61.9,0,-0.00028,-0.000127,0,13845.10002,34552.82615,8.40384E+11,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,0,-2.637837648,-0.152078941,44.7876662,7.584296912,0,0.000548712
